Date,Equity Call Volume,Equity Put Volume,Equity Total Volume,Equity P/C Ratio
07/01/04,576755,429000,1005755,0.74
07/02/04,459413,325758,785171,0.71
07/06/04,499103,499144,998247,1
07/07/04,480035,434571,914606,0.91
07/08/04,580709,477272,1057981,0.82
07/09/04,468279,315317,783596,0.67
07/12/04,405944,368269,774213,0.91
7/13/2004,515012,326622,841634,0.63
7/14/2004,700593,533493,1234086,0.76
7/15/2004,708886,436307,1145193,0.62
7/16/2004,812201,758206,1570407,0.93
7/19/2004,685743,398101,1083844,0.58
7/20/2004,673255,386264,1059519,0.57
7/21/2004,706709,422885,1129594,0.6
7/22/2004,639356,452128,1091484,0.71
7/23/2004,473413,297719,771132,0.63
7/26/2004,593357,422778,1016135,0.71
7/27/2004,570934,314997,885931,0.55
7/28/2004,635796,348299,984095,0.55
7/29/2004,547501,306108,853609,0.56
7/30/2004,464179,247812,711991,0.53
08/02/04,392553,260392,652945,0.66
08/03/04,396065,215231,611296,0.54
08/04/04,403866,289736,693602,0.72
08/05/04,462895,321930,784825,0.7
08/06/04,535745,683184,1218929,1.28
08/09/04,376267,326048,702315,0.87
08/10/04,420364,375145,795509,0.89
08/11/04,531373,365818,897191,0.69
08/12/04,506274,495092,1001366,0.98
8/13/2004,418869,314266,733135,0.75
8/16/2004,465604,310574,776178,0.67
8/17/2004,537330,371034,908364,0.69
8/18/2004,571227,467918,1039145,0.82
8/19/2004,574296,421261,995557,0.73
8/20/2004,784646,566482,1351128,0.72
8/23/2004,537436,387781,925217,0.72
8/24/2004,475033,282587,757620,0.59
8/25/2004,495243,297051,792294,0.6
8/26/2004,441929,309162,751091,0.7
8/27/2004,362855,266495,629350,0.73
8/30/2004,358137,247203,605340,0.69
8/31/2004,376647,221352,597999,0.59
09/01/04,336482,259033,595515,0.77
09/02/04,404787,293349,698136,0.72
09/03/04,331306,260532,591838,0.79
09/07/04,418271,292067,710338,0.7
09/08/04,437313,356345,793658,0.81
09/09/04,483669,349029,832698,0.72
09/10/04,573043,351284,924327,0.61
9/13/2004,684933,381638,1066571,0.56
9/14/2004,532990,355116,888106,0.67
9/15/2004,591782,377246,969028,0.64
9/16/2004,555654,340448,896102,0.61
9/17/2004,742190,487054,1229244,0.66
9/20/2004,652373,376265,1028638,0.58
9/21/2004,672724,483557,1156281,0.72
9/22/2004,500832,476806,977638,0.95
9/23/2004,438810,355896,794706,0.81
9/24/2004,380010,313474,693484,0.82
9/27/2004,429389,340689,770078,0.79
9/28/2004,520063,442490,962553,0.85
9/29/2004,644693,418040,1062733,0.65
9/30/2004,590577,433987,1024564,0.73
10/01/04,705362,546099,1251461,0.77
10/04/04,810433,539054,1349487,0.67
10/05/04,740807,497794,1238601,0.67
10/06/04,710852,468690,1179542,0.66
10/07/04,624556,467848,1092404,0.75
10/08/04,554096,456695,1010791,0.82
10/11/04,437998,273185,711183,0.62
10/12/04,569940,512918,1082858,0.9
10/13/2004,679170,542788,1221958,0.8
10/14/2004,667745,568304,1236049,0.85
10/15/2004,905837,691086,1596923,0.76
10/18/2004,653693,461948,1115641,0.71
10/19/2004,728489,633400,1361889,0.87
10/20/2004,636731,528293,1165024,0.83
10/21/2004,684642,519872,1204514,0.76
10/22/2004,549506,365979,915485,0.67
10/25/2004,526243,346298,872541,0.66
10/26/2004,705920,406927,1112847,0.58
10/27/2004,829704,486861,1316565,0.59
10/28/2004,654090,359641,1013731,0.55
10/29/2004,629879,378292,1008171,0.6
11/01/04,489208,373860,863068,0.76
11/02/04,723572,398622,1122194,0.55
11/03/04,736263,499280,1235543,0.68
11/04/04,735009,469860,1204869,0.64
11/05/04,879460,444502,1323962,0.51
11/08/04,707902,347942,1055844,0.49
11/09/04,756787,401731,1158518,0.53
11/10/04,722697,408807,1131504,0.57
11/11/04,737734,414254,1151988,0.56
11/12/04,869039,553135,1422174,0.64
11/15/2004,1023501,411086,1434587,0.4
11/16/2004,801638,474116,1275754,0.59
11/17/2004,1066235,544057,1610292,0.51
11/18/2004,911558,454881,1366439,0.5
11/19/2004,1161274,603669,1764943,0.52
11/22/2004,736999,393185,1130184,0.53
11/23/2004,731115,484224,1215339,0.66
11/24/2004,614365,299248,913613,0.49
11/26/2004,282314,163473,445787,0.58
11/29/2004,684379,363900,1048279,0.53
11/30/2004,480231,331968,812199,0.69
12/01/04,801932,426488,1228420,0.53
12/02/04,882049,611484,1493533,0.69
12/03/04,726468,394888,1121356,0.54
12/06/04,625907,374614,1000521,0.6
12/07/04,758292,446314,1204606,0.59
12/08/04,599048,398403,997451,0.67
12/09/04,641624,489330,1130954,0.76
12/10/04,611554,288555,900109,0.47
12/13/2004,552335,259531,811866,0.47
12/14/2004,702696,425477,1128173,0.61
12/15/2004,862039,360956,1222995,0.42
12/16/2004,934116,410355,1344471,0.44
12/17/2004,1002656,536541,1539197,0.54
12/20/2004,308472,189814,498286,0.62
12/21/2004,641805,329956,971761,0.51
12/22/2004,520858,337623,858481,0.65
12/23/2004,375124,212569,587693,0.57
12/27/2004,355513,237059,592572,0.67
12/28/2004,472655,227347,700002,0.48
12/29/2004,526021,310633,836654,0.59
12/30/2004,373995,223765,597760,0.6
12/31/2004,358909,162294,521203,0.45
01/03/05,659825,379929,1039754,0.58
01/04/05,823299,494997,1318296,0.6
01/05/05,673198,491213,1164411,0.73
01/06/05,650675,436787,1087462,0.67
01/07/05,665551,517598,1183149,0.78
01/10/05,598111,388796,986907,0.65
01/11/05,710453,464212,1174665,0.65
01/12/05,601109,401114,1002223,0.67
1/13/2005,711982,484745,1196727,0.68
1/14/2005,648600,378385,1026985,0.58
1/18/2005,748462,503077,1251539,0.67
1/19/2005,772118,578582,1350700,0.75
1/20/2005,850881,649157,1500038,0.76
1/21/2005,1173847,751545,1925392,0.64
1/24/2005,893746,570729,1464475,0.64
1/25/2005,734396,466131,1200527,0.63
1/26/2005,729240,417934,1147174,0.57
1/27/2005,624288,332165,956453,0.53
1/28/2005,640730,389257,1029987,0.61
1/31/2005,613507,341316,954823,0.56
02/01/05,641260,331690,972950,0.52
02/02/05,672941,335387,1008328,0.5
02/03/05,589756,375712,965468,0.64
02/04/05,749407,364407,1113814,0.49
02/07/05,599882,271554,871436,0.45
02/08/05,617796,353443,971239,0.57
02/09/05,655340,459441,1114781,0.7
02/10/05,596899,445552,1042451,0.75
02/11/05,642824,424200,1067024,0.66
2/14/2005,538375,358232,896607,0.67
2/15/2005,697098,379812,1076910,0.54
2/16/2005,653283,336169,989452,0.51
2/17/2005,731649,451598,1183247,0.62
2/18/2005,953472,566068,1519540,0.59
2/22/2005,768716,404014,1172730,0.53
2/23/2005,615620,341717,957337,0.56
2/24/2005,702203,545456,1247659,0.78
2/25/2005,730242,461371,1191613,0.63
2/28/2005,691864,377079,1068943,0.55
03/01/05,637463,430391,1067854,0.68
03/02/05,677219,420572,1097791,0.62
03/03/05,630262,417267,1047529,0.66
03/04/05,679113,412901,1092014,0.61
03/07/05,681352,385600,1066952,0.57
03/08/05,596441,405869,1002310,0.68
03/09/05,702190,492543,1194733,0.7
03/10/05,641241,425365,1066606,0.66
03/11/05,547342,340055,887397,0.62
3/14/2005,573341,381248,954589,0.66
3/15/2005,692111,392209,1084320,0.57
3/16/2005,736013,614202,1350215,0.83
3/17/2005,763771,525509,1289280,0.69
3/18/2005,860858,621100,1481958,0.72
3/21/2005,731526,455540,1187066,0.62
3/22/2005,675731,551035,1226766,0.82
3/23/2005,743807,384860,1128667,0.52
3/24/2005,707146,353431,1060577,0.5
3/28/2005,635349,323334,958683,0.51
3/29/2005,596786,408174,1004960,0.68
3/30/2005,588495,335703,924198,0.57
3/31/2005,617382,359396,976778,0.58
04/01/05,596260,484520,1080780,0.81
04/04/05,611025,422503,1033528,0.69
04/05/05,599281,358050,957331,0.6
04/06/05,612572,496312,1108884,0.81
04/07/05,668755,361445,1030200,0.54
04/08/05,565535,311177,876712,0.55
04/11/05,552918,390898,943816,0.71
04/12/05,684342,464286,1148628,0.68
4/13/2005,927550,674501,1602051,0.73
4/14/2005,949034,662345,1611379,0.7
4/15/2005,1090429,1095025,2185454,1
4/18/2005,848862,585156,1434018,0.69
4/19/2005,748795,441930,1190725,0.59
4/20/2005,743160,464946,1208106,0.63
4/21/2005,749890,436056,1185946,0.58
4/22/2005,621917,415520,1037437,0.67
4/25/2005,508636,328816,837452,0.65
4/26/2005,553686,391377,945063,0.71
4/27/2005,560549,430517,991066,0.77
4/28/2005,520202,396538,916740,0.76
4/29/2005,571583,421619,993202,0.74
05/02/05,468299,315901,784200,0.67
05/03/05,561365,345275,906640,0.62
05/04/05,680649,573611,1254260,0.84
05/05/05,552010,410429,962439,0.74
05/06/05,459759,368858,828617,0.8
05/09/05,472943,298648,771591,0.63
05/10/05,629666,336792,966458,0.53
05/11/05,537582,377032,914614,0.7
05/12/05,564303,416152,980455,0.74
5/13/2005,629101,454105,1083206,0.72
5/16/2005,663109,362661,1025770,0.55
5/17/2005,611021,422280,1033301,0.69
5/18/2005,867498,451267,1318765,0.52
5/19/2005,724323,381008,1105331,0.53
5/20/2005,961822,441716,1403538,0.46
5/23/2005,729332,371719,1101051,0.51
5/24/2005,568897,318295,887192,0.56
5/25/2005,567764,387355,955119,0.68
5/26/2005,611297,287883,899180,0.47
5/27/2005,396841,227635,624476,0.57
5/31/2005,495953,354906,850859,0.72
06/01/05,757708,426714,1184422,0.56
06/02/05,530775,329231,860006,0.62
06/03/05,535325,327222,862547,0.61
06/06/05,486352,247606,733958,0.51
06/07/05,630871,350996,981867,0.56
06/08/05,578027,371287,949314,0.64
06/09/05,597039,288848,885887,0.48
06/10/05,681013,323436,1004449,0.47
6/13/2005,553331,336631,889962,0.61
6/14/2005,619778,345446,965224,0.56
6/15/2005,747538,420740,1168278,0.56
6/16/2005,787777,573484,1361261,0.73
6/17/2005,958796,511279,1470075,0.53
6/20/2005,655538,379451,1034989,0.58
6/21/2005,597482,363871,961353,0.61
6/22/2005,592603,309032,901635,0.52
6/23/2005,821689,387284,1208973,0.47
6/24/2005,512042,294419,806461,0.57
6/27/2005,524921,332144,857065,0.63
6/28/2005,529524,307966,837490,0.58
6/29/2005,548308,332022,880330,0.61
6/30/2005,593486,303667,897153,0.51
07/01/05,395833,219261,615094,0.55
07/05/05,557993,273561,831554,0.49
07/06/05,546053,285517,831570,0.52
07/07/05,593389,344815,938204,0.58
07/08/05,722756,306563,1029319,0.42
07/11/05,759728,377410,1137138,0.5
07/12/05,771256,358279,1129535,0.46
7/13/2005,739592,408920,1148512,0.55
7/14/2005,1080451,469825,1550276,0.43
7/15/2005,986364,532999,1519363,0.54
7/18/2005,683489,378446,1061935,0.55
7/19/2005,742724,402559,1145283,0.54
7/20/2005,813078,414018,1227096,0.51
7/21/2005,832595,446913,1279508,0.54
7/22/2005,645307,362269,1007576,0.56
7/25/2005,633333,379218,1012551,0.6
7/26/2005,696465,410391,1106856,0.59
7/27/2005,678512,398339,1076851,0.59
7/28/2005,734103,411426,1145529,0.56
7/29/2005,622390,407743,1030133,0.66
08/01/05,548154,332961,881115,0.61
08/02/05,747595,521271,1268866,0.7
08/03/05,709251,394813,1104064,0.56
08/04/05,634138,405177,1039315,0.64
08/05/05,636212,350676,986888,0.55
08/08/05,646685,384837,1031522,0.6
08/09/05,647931,410541,1058472,0.63
08/10/05,734390,441440,1175830,0.6
08/11/05,584797,345176,929973,0.59
08/12/05,632943,395717,1028660,0.63
8/15/2005,670568,380863,1051431,0.57
8/16/2005,708570,485219,1193789,0.68
8/17/2005,784242,419900,1204142,0.54
8/18/2005,689591,428465,1118056,0.62
8/19/2005,781185,449642,1230827,0.58
8/22/2005,666747,382096,1048843,0.57
8/23/2005,578556,351100,929656,0.61
8/24/2005,586929,418565,1005494,0.71
8/25/2005,528412,298056,826468,0.56
8/26/2005,448785,365162,813947,0.81
8/29/2005,537298,296998,834296,0.55
8/30/2005,589726,374885,964611,0.64
8/31/2005,811626,459809,1271435,0.57
09/01/05,745328,431760,1177088,0.58
09/02/05,509861,312217,822078,0.61
09/06/05,638870,432788,1071658,0.68
09/07/05,627319,345314,972633,0.55
09/08/05,714238,440160,1154398,0.62
09/09/05,757568,386716,1144284,0.51
09/12/05,743961,439732,1183693,0.59
9/13/2005,708456,470249,1178705,0.66
9/14/2005,803434,538952,1342386,0.67
9/15/2005,810714,517083,1327797,0.64
9/16/2005,1098208,573530,1671738,0.52
9/19/2005,858001,432738,1290739,0.5
9/20/2005,710333,481800,1192133,0.68
9/21/2005,832116,591923,1424039,0.71
9/22/2005,826934,469880,1296814,0.57
9/23/2005,647953,408078,1056031,0.63
9/26/2005,673247,380376,1053623,0.56
9/27/2005,603639,362267,965906,0.6
9/28/2005,713243,392052,1105295,0.55
9/29/2005,701237,392125,1093362,0.56
9/30/2005,687327,366854,1054181,0.53
10/03/05,677321,434706,1112027,0.64
10/04/05,796442,491296,1287738,0.62
10/05/05,842911,585846,1428757,0.7
10/06/05,869693,531452,1401145,0.61
10/07/05,651506,396685,1048191,0.61
10/10/05,608321,484431,1092752,0.8
10/11/05,756399,482911,1239310,0.64
10/12/05,886923,676571,1563494,0.76
10/13/2005,919301,819150,1738451,0.89
10/14/2005,636525,446915,1083440,0.7
10/17/2005,802967,515197,1318164,0.64
10/18/2005,767619,513873,1281492,0.67
10/19/2005,918615,705044,1623659,0.77
10/20/2005,984980,740998,1725978,0.75
10/21/2005,1120360,743390,1863750,0.66
10/24/2005,881291,442640,1323931,0.5
10/25/2005,801982,470425,1272407,0.59
10/26/2005,848287,518103,1366390,0.61
10/27/2005,794986,525897,1320883,0.66
10/28/2005,671365,453398,1124763,0.68
10/31/2005,760125,392108,1152233,0.52
11/01/05,642605,461297,1103902,0.72
11/02/05,992937,484898,1477835,0.49
11/03/05,1023388,515558,1538946,0.5
11/04/05,719235,366669,1085904,0.51
11/07/05,652362,451590,1103952,0.69
11/08/05,591658,376923,968581,0.64
11/09/05,680742,399151,1079893,0.59
11/10/05,834123,518509,1352632,0.62
11/11/05,673176,327233,1000409,0.49
11/14/2005,730642,431004,1161646,0.59
11/15/2005,758301,564755,1323056,0.74
11/16/2005,821424,473081,1294505,0.58
11/17/2005,993075,600411,1593486,0.6
11/18/2005,1171163,536615,1707778,0.46
11/21/2005,819826,471894,1291720,0.58
11/22/2005,805404,395200,1200604,0.49
11/23/2005,772291,425952,1198243,0.55
11/25/2005,296467,180493,476960,0.61
11/28/2005,628246,375502,1003748,0.6
11/29/2005,667699,412915,1080614,0.62
11/30/2005,594610,350590,945200,0.59
12/01/05,862936,472083,1335019,0.55
12/02/05,769511,443058,1212569,0.58
12/05/05,685572,417256,1102828,0.61
12/06/05,800950,509606,1310556,0.64
12/07/05,718334,416596,1134930,0.58
12/08/05,722044,462701,1184745,0.64
12/09/05,615871,357480,973351,0.58
12/12/05,822289,521916,1344205,0.63
12/13/2005,1046986,548907,1595893,0.52
12/14/2005,971112,555550,1526662,0.57
12/15/2005,1157813,481038,1638851,0.42
12/16/2005,1153668,619101,1772769,0.54
12/19/2005,943659,519297,1462956,0.55
12/20/2005,603450,466073,1069523,0.77
12/21/2005,629721,441650,1071371,0.7
12/22/2005,635862,358639,994501,0.56
12/23/2005,457805,235090,692895,0.51
12/27/2005,603195,460064,1063259,0.76
12/28/2005,500968,278816,779784,0.56
12/29/2005,472984,288412,761396,0.61
12/30/2005,523253,263018,786271,0.5
01/03/06,903009,489307,1392316,0.54
01/04/06,848053,415967,1264020,0.49
01/05/06,966279,435030,1401309,0.45
01/06/06,1010308,588767,1599075,0.58
01/09/06,1185024,551898,1736922,0.47
01/10/06,1144851,630147,1774998,0.55
01/11/06,1202151,632553,1834704,0.53
01/12/06,1063956,579857,1643813,0.55
1/13/2006,909364,532461,1441825,0.59
1/17/2006,1065076,549965,1615041,0.52
1/18/2006,1017485,670116,1687601,0.66
1/19/2006,1424183,759403,2183586,0.53
1/20/2006,1756248,1214784,2971032,0.69
1/23/2006,1178701,688225,1866926,0.58
1/24/2006,1727564,647788,2375352,0.37
1/25/2006,1184212,729196,1913408,0.62
1/26/2006,1192483,655014,1847497,0.55
1/27/2006,1197856,709220,1907076,0.59
1/30/2006,1167555,543061,1710616,0.47
1/31/2006,956542,488462,1445004,0.51
02/01/06,999262,599366,1598628,0.6
02/02/06,990528,674859,1665387,0.68
02/03/06,855502,596730,1452232,0.7
02/06/06,803590,563099,1366689,0.7
02/07/06,893530,595085,1488615,0.67
02/08/06,910650,550209,1460859,0.6
02/09/06,1032035,519302,1551337,0.5
02/10/06,924159,530722,1454881,0.57
2/13/2006,787030,527996,1315026,0.67
2/14/2006,1033350,673208,1706558,0.65
2/15/2006,1104556,636759,1741315,0.58
2/16/2006,1148381,665033,1813414,0.58
2/17/2006,1242529,638193,1880722,0.51
2/21/2006,996852,533143,1529995,0.53
2/22/2006,943063,483849,1426912,0.51
2/23/2006,789251,438429,1227680,0.56
2/24/2006,758366,485230,1243596,0.64
2/27/2006,831872,477401,1309273,0.57
2/28/2006,965080,551544,1516624,0.57
03/01/06,921386,538091,1459477,0.58
03/02/06,981968,625927,1607895,0.64
03/03/06,835893,554329,1390222,0.66
03/06/06,916219,614299,1530518,0.67
03/07/06,867278,641654,1508932,0.74
03/08/06,1017656,640353,1658009,0.63
03/09/06,868965,644907,1513872,0.74
03/10/06,925234,490975,1416209,0.53
3/13/2006,762108,500887,1262995,0.66
3/14/2006,1028121,570100,1598221,0.55
3/15/2006,1140013,695682,1835695,0.61
3/16/2006,1076042,608157,1684199,0.57
3/17/2006,1165322,712418,1877740,0.61
3/20/2006,1096853,586479,1683332,0.53
3/21/2006,957135,603395,1560530,0.63
3/22/2006,832450,524869,1357319,0.63
3/23/2006,744746,562737,1307483,0.76
3/24/2006,789922,497255,1287177,0.63
3/27/2006,715592,417456,1133048,0.58
3/28/2006,837644,531952,1369596,0.64
3/29/2006,770439,493143,1263582,0.64
3/30/2006,901713,424961,1326674,0.47
3/31/2006,784143,474677,1258820,0.61
04/03/06,883660,400849,1284509,0.45
04/04/06,910926,491069,1401995,0.54
04/05/06,942451,605757,1548208,0.64
04/06/06,1079334,636594,1715928,0.59
04/07/06,901866,519168,1421034,0.58
04/10/06,782837,505843,1288680,0.65
04/11/06,925684,610799,1536483,0.66
04/12/06,800006,464364,1264370,0.58
4/13/2006,677896,408429,1086325,0.6
4/17/2006,1000696,558582,1559278,0.56
4/18/2006,1480617,755985,2236602,0.51
4/19/2006,1574316,722064,2296380,0.46
4/20/2006,1630439,884307,2514746,0.54
4/21/2006,1706400,1027005,2733405,0.6
4/24/2006,1124173,635777,1759950,0.57
4/25/2006,1087821,637862,1725683,0.59
4/26/2006,1078294,850427,1928721,0.79
4/27/2006,1283623,711373,1994996,0.55
4/28/2006,1037965,639744,1677709,0.62
05/01/06,924809,519962,1444771,0.56
05/02/06,986887,613928,1600815,0.62
05/03/06,999862,635432,1635294,0.64
05/04/06,1158502,591427,1749929,0.51
05/05/06,1083842,520046,1603888,0.48
05/08/06,962868,602256,1565124,0.63
05/09/06,973164,642233,1615397,0.66
05/10/06,1032724,637614,1670338,0.62
05/11/06,1165656,747878,1913534,0.64
05/12/06,1107430,798329,1905759,0.72
5/15/2006,1135331,735266,1870597,0.65
5/16/2006,1134248,712408,1846656,0.63
5/17/2006,1158768,922749,2081517,0.8
5/18/2006,1091898,817448,1909346,0.75
5/19/2006,1422747,1061118,2483865,0.75
5/22/2006,1252283,796381,2048664,0.64
5/23/2006,1040409,640651,1681060,0.62
5/24/2006,1093287,766482,1859769,0.7
5/25/2006,1114375,571749,1686124,0.51
5/26/2006,808353,378139,1186492,0.47
5/30/2006,759125,508441,1267566,0.67
5/31/2006,869293,538002,1407295,0.62
06/01/06,798475,607811,1406286,0.76
06/02/06,776644,675871,1452515,0.87
06/05/06,825780,524851,1350631,0.64
06/06/06,1015395,751336,1766731,0.74
06/07/06,938168,589591,1527759,0.63
06/08/06,1094396,864040,1958436,0.79
06/09/06,795370,504705,1300075,0.63
06/12/06,984341,554808,1539149,0.56
6/13/2006,1110659,860904,1971563,0.78
6/14/2006,852711,650223,1502934,0.76
6/15/2006,1172580,630729,1803309,0.54
6/16/2006,918677,624811,1543488,0.68
6/19/2006,886133,521838,1407971,0.59
6/20/2006,663639,493672,1157311,0.74
6/21/2006,805712,443453,1249165,0.55
6/22/2006,602843,389682,992525,0.65
6/23/2006,656897,420864,1077761,0.64
6/26/2006,577668,329137,906805,0.57
6/27/2006,813871,534260,1348131,0.66
6/28/2006,622034,412376,1034410,0.66
6/29/2006,1004469,460065,1464534,0.46
6/30/2006,713788,372160,1085948,0.52
07/03/06,387172,234949,622121,0.61
07/05/06,606685,429073,1035758,0.71
07/06/06,739097,466975,1206072,0.63
